Project ID,Project Name,Project type,Project website,Area of Society,DSI Areas,Social Impact,Technology Focus,Technology method,Timestamp ID,Date and Time
f0c760d1-2421-f520-4f5d-dc1ab75877c7,Wheelmap.org,delivering a web service,www.wheelmap.org,"disability rights, participation and democracy","open access, awareness networks","With the Wheelmap we want to make it easier for people with mobility impairments to get out and about, while at the same time raising awareness for the barriers they face on a daily basis.","open data, open knowledge","open source, crowdmapping, open data, mobile apps, geotagging",80c4abb2-3b01-5d8d-20ce-76ecd22ef0b6,
0ba5aa48-141d-be23-dc99-f3c12a68453a,Social Cities,research project,,,awareness networks,,,,,
4d9facf1-16b1-200a-fa5c-75d23c0215e7,Por un uso social y comunitario de la tecnologia,education and training,www.alava.sartu.net,"la participacin y la democracia, la educacin y las habilidades, el trabajo y el empleo",open democracy,"1. Hace posible la existencia y funcionamiento de una actividad positiva y amigable que repercute directa y positivamente en la dinamizacion social del barrio: facilitando interacciones personales que generan nuevos vinculos de relacion inter-vecinal y previenen situaciones de conflictividad social, acercando la informacion y el conocimiento a quienes mas lo necesitan, atrayendo nuevos transitos de personas con intereses distintos y novedosos a los existentes anteriormente (mucho mas negativos),...etc. 
2. Genera nuevas expectativas laborales entre la poblacion joven del barrio que siente que puede tener alguna opcion laboral a corto- medio plazo en un sector de futuro. En el caso de Saregune ha significado que, a partir del primer ano de funcionamiento, hemos contado con una media de 60 candidaturas para cada Plan 
de empleo con cabida para 10 personas. 
3. En bastantes casos ha supuesto un retorno al aprendizaje normalizado por parte de personas que, procedentes del fracaso escolar, habian perdido toda esperanza y confianza en el sistema educativo, generando nuevas posibilidades formativas a traves del autoaprendizaje apoyado, la formacion continua y el aprendizaje permanente vinculado a las tecnologias. 
4. Contribuye a ofrecer alternativas de insercion como recurso para los Servicios Sociales de Base de zona en su trabajo social y comunitario, aportando alternativas viables para avanzar y mejorar las condiciones de algunas de las personas a las que atienden, a quienes pueden proponer como candidatas a participar en alguno de los procesos. 
5. Fomenta la creacion y consolidacion de un capital social rico e interconectado. En base a las necesidades tecnologicas se generan sinergias y grupos de interes comun que facilitan el acercamiento y el trabajo compartido entre la iniciativa social. 
6. Ayuda a modificar estereotipos negativos del vecindario tanto hacia las personas del barrio contratadas, cuyo rol pasa a ser de servicio a la comunidad, como entre las personas usuarias que en este entorno pueden sacar a la luz sus conocimientos (de otros idiomas, de manejo de las tecnologias, ..) y romper con muchos prejuicios respecto a las personas extranjeras y otras etnias y sus respectivos usos culturales. 
7. Socializa, desmitifica y horizontaliza el papel de la tecnologia ayudando a ver su papel y uso social, no exclusivamente mercantil. El uso del software libre en el proceso ayuda a profundizar en los valores de la colaboracion, de la creacion compartida del conocimiento y su contribucion a la creacion cultural libre. 
","open data, open knowledge, open networks","web 20, software libre, aprendizaje colaborativo",cb91ddae-4bc5-7d9d-e469-ff02d8069630,
0fcd995a-cf49-f6d4-7a31-18f6a200464e,Fab Lab Madrid Network ,network,,"science, finance and economy, education and skills, culture and arts","open access, awareness networks, new ways of making, collaborative economy","Makespace in the city, by running workshops where fabbers and makers from university, institutions and grass-root fablabs work together. We are working in a new version of the loom project, in order to help the design evolve and improve its performance. 

We built the firs Madrid-version loom in 29 of July at Fab Lab Universidad San Pablo CEU.  It was the first time that students and professionals, artist, amateurs and engineers meet together to develop a project. 
","open hardware, open knowledge, open networks","3d printing, p2p   distributed exchange networks, fablab, makers, open source, cnc",505e5003-7181-7717-637e-c8a5fd5807ba,
feafc7cd-38fc-47df-71f6-f1545e273486,Online Education,education and training,,"education and learning, online education",open access,"The accredited colleges online helps people get accredited with the certified degree with various degree program offerings like online nursing classes, technology courses and many more.",open knowledge,online degrees,87b94827-b5dc-ebf8-b204-ce4b705aab2c,
dd9bd4a7-9305-eef2-8882-12388e188a99,Solutio,delivering a web service,solutio.coolmeia.org,"education and skills, work and employment, energy and environment, finance and economy, culture and arts, neighbourhood regeneration, health and wellbeing, science, participation and democracy","new ways of making, open democracy, open access, collaborative economy, funding acceleration and incubation, awareness networks","Project will open the code of all issues related to common good, inviting people to share, improve and distribute solutions toward colletive wealth and well-being","open hardware, open knowledge, open data, open networks","p2p   distributed exchange networks, consensus, collaboration, 3d printing, open knowledge, diy, machine learning, social networks, autonomy, interdependence, open data, open source, online peer support",a5d222d2-71c8-0980-c27d-2ec31032644a,
d2ff6fbb-c4e3-c8f4-9ef4-18f6f2a98665,Cicero,delivering a web service,www.cicero.cc,culture and arts,"open access, collaborative economy","Cicero, through the creation of a widespread network of stories, can promote the knowledge of the territory and of the artistic and cultural heritage. It can lead to the discovery of cultural heritage that otherwise might be forgotten and, by promoting collaborations between institutions and citizens, it can generate a virtuous circle for the promotion of an entire geographic area.",open knowledge,"geotagging, social networks, crowdsourcing, mobile apps",6bf70b98-52dd-b4b3-12b0-ea473f054f30,
43511bde-4689-f5e0-6f39-92fb3e599fa8,www.hapide.com,incubators and accelerators,www.hapide.com,"education and skills, work and employment","collaborative economy, funding acceleration and incubation",3 social business are about to start and 2 have already been established,open knowledge,"online notice board, online peer support",dcf976b2-2d9a-905a-8afe-7967730edff0,
bb061214-1e4d-0fca-9818-a492fd3dec06,"Internet services, studies and advice in strategic usage of Internet",delivering a web service,?page_id=2881,"started in 101993, participation and democracy, social development, social movements","funding acceleration and incubation, open access","Help, provision of services, advice on strategic usage of Internet services and its social impact.",open networks,"online peer support, social media, open source",ce24817c-8459-6592-a093-d3f14df3194b,
6cdfc2f1-78c9-ee93-5e0f-c6124d1b6f39,B2B sharing and collaboration,delivering a web service,andshare.co,"science, research, neighbourhood regeneration, work and employment, energy and environment, finance and economy, education and skills, community projects, small business, startups",collaborative economy,"Imagine if everything an organisation needed was available a a click, all in one place, on-demand, and free.  Imagine what that would do to empower the work of social enterprises,  charities, researchers, communities.  Imagine what it would do to lower the barriers of entry to startups, fuelling innovation.

&Share aims to increase collaboration, reduce the environmental impact from resources organisations own, encourage more transparent and ethical operations, and empower social and humanitarian organisations.","open knowledge, open networks","online peer support, crowdsourcing, online notice board, business networks, geotagging, mobile apps, resource management, b2b   distributed exchange networks, online market place, social networks",70aed674-7a93-139d-5480-e7d5daaf7ef7,
674fc854-3759-ff2e-c6bb-7a72c42e669f,Community website,network,community,"participation and democracy, health and wellbeing, media literacy, education and skills, science, culture and arts","open democracy, collaborative economy","The collection and dissemination of news, knowledge and insights on the field of media literacy.",open knowledge,,fb0bd03c-3b4b-ad6a-d5c9-abf814f6dae3,
2ee01809-8531-a426-c94b-44da47a21854,Social Innovation Program,research project,,"humanitarian, development","open access, awareness networks",We partner directly with humanitarian organizations and co-deploy our digital technologies with them to improve their relief efforts during major disasters.,"open data, open knowledge, open networks","crowdmapping, open source, social media, geotagging, crowdsourcing, machine learning, social networks, open data",7e4a7cfc-864c-d420-f7fa-1d0ac161af55,
3ecd4488-4892-40c6-40d3-5474cfaa1aeb, Code For Poland,network,eng,"participation and democracy, citizens","open access, new ways of making","First reach in few words (why can I just use number above?): around 300 ppl registered on forum, 5 active local communities, 4 citygov partners, many collaborating NGOs.

And as for social impact:
We promote transparency and higher participation of citizens in political process through open data. At this early stage we are devoted to promoting open data and social apps through working applications. By september we'll have 5 working applications, some of them available in few cities across Poland. Now it's too soon to show social impact.","open data, open knowledge","mobile apps, crowdmapping, big data, open data, open source, crowdsourcing",92d78108-e154-be30-4702-2004e550dde0,
36adde89-3ffe-42b5-8520-337c1f1c6ea1,La Paillasse Network,maker and hacker spaces,,"diy, science, biotech, education and skills",new ways of making,"Providing access to a multidisciplinary ecosystem, combining biotechnology, computing, electronics, design as well as rapid prototyping tools, La Paillasse positions itself as a hub for accelerating projects that address local and global issues.","open data, open hardware, open knowledge, open networks","social networks, 3d printing, open source, machine learning, open data",2372a53a-c75a-53d1-2dc1-af690c02abd1,
00d0c181-cef0-2eca-94f6-2cf2af4c1c5f,Impact Hub Milan,incubators and accelerators,,"health and wellbeing, finance and economy, work and employment, neighbourhood regeneration, energy and environment, participation and democracy, education and skills, culture and arts","awareness networks, funding acceleration and incubation, collaborative economy, new ways of making","Incubation and acceleration of social start-ups, scaling of social innovation in Italy and Europe, awareness raising of social innovation and social entrepreneurship, networking, collaboration and support. ","open networks, open knowledge","crowdsourcing, online peer support, social networks, personal monitoring, online market place, social media, mobile apps, crowdfunding, online notice board, p2p   distributed exchange networks",669ac0e8-d73d-c2ca-467d-c554daf6232f,10/1/2016
b1321892-437f-9692-943e-ae79381b9437,The Centre - Edelman Brussels forum for Public Engagement,event,,"culture and arts, technology, work and employment, science, health and wellbeing, education and skills, privacy, energy and environment, participation and democracy, grassroots, finance and economy, neighbourhood regeneration",,"The events at The Centre allow people engaged in shaping Europes development to share ideas and views. The events are open to a broad audience of stakeholders - policy-makers, academics, business leaders, NGOs and media. They cover various topics often linked to ongoing EU-policy debates. ","open knowledge, open data","personal monitoring, crowdsourcing, crowdmapping, social networks, social media",3aa7349c-afac-85ea-b774-610d79dcaab6,
3d33161a-562a-8f4c-c6a6-63f0077c80a8,Open Cultuur Data,delivering a web service,opencultuurdata.nl,"education and skills, culture and arts","collaborative economy, open access, open democracy, awareness networks","Open Cultuur Data (Open Culture Data) is a network of cultural professionals, developers, designers, copyright specialists and open data experts, that opens data from the cultural heritage sector and encourages the development of valuable cultural applications that started in September 2011. This makes culture accessible in new ways to a broader public.

The network has been awarded in 2012 with the European Public Sector Information Platform Trailblazer award as an initiative which has done something new and exciting with open data in Europe over the past year.","open networks, open data, open knowledge","social media, open source, open data",3e97707b-6a2a-d268-b4e2-f8b440198e97,
0953cca1-19dd-9b83-3c65-4f00db5845fe,Student Digital Social Innovation Project,education and training,,"health and wellbeing, work and employment, education and skills, participation and democracy, neighbourhood regeneration",funding acceleration and incubation,The project is at an early stage. Social impact will be achieved through the commercialisation of digital social innovation apps and the diffusion of technology to the intended users. ,open data,"mobile apps, social networks, big data, social media, crowdfunding, sensors and internet of things",fa63d1e4-1cfc-91ba-08ca-dabdf8f575db,4/1/2014
17fc03f2-5dbc-2f09-d064-b250149b0117,Universal University free education for everyone using crowdsourcing and crowdfunding,education and training,www.whymandesign.wordpress.com,"participation and democracy, health and wellbeing, finance and economy, neighbourhood regeneration, work and employment, culture and arts, education and skills",collaborative economy,Education free for everyone using crowdfunding and crowdsourcing to help everyone help everyone.,"open data, open knowledge, open hardware, open networks","personal monitoring, social media, online market place, open source, p2p   distributed exchange networks, social networks, big data, online learning models and moocs, crowdfunding, online notice board, crowdsourcing, online peer support, crowdmapping",dbe397da-f17e-991d-0d75-4830e5ed740a,11/1/2024
d46b05e3-565a-9021-484c-9ffe061bebdd,ForestGeek-in-Residence,advisory or expert body,?page_id=85,"participation and democracy, culture and arts, energy and environment, science, education and skills, neighbourhood regeneration","open access, new ways of making",big,"open knowledge, open hardware, open networks","open source, hunting, sensors and internet of things, environment, 3d printing, resource management, agriculture",8881256c-37f3-1b55-d87d-f503b8f3e6d9,12/1/2024
08fac63a-95b3-6b99-7cc3-b522e049f329,VOICE - Virtual Open Incubation Ecosystem,incubators and accelerators,,"work and employment, innovation and entrepreneurship, collaborative start ups, economic growth, job creation, collaborative innovation, crowd driven virtual business incubation ecosystem, co creation, open incubation, community driven value","funding acceleration and incubation, new ways of making, open access, collaborative economy","Transform innovation in key areas of public interest

VOICE  aims to define and offer a virtual, open innovation and entrepreneurship ecosystem based on open innovation, crowd-sourcing and co-creation principles. Innovation and Entrepreneurship are key drivers towards a number of areas of social interest including:

- Job Creation  Start-ups to result from the VOICE ecosystem will actively contribute to new employment opportunities for the EU and the world. High-paid jobs are to be created since technology- oriented companies typically employ highly skilled employees. 
	Increased Entrepreneurial Activity  The innovative and international character of the Virtual Incubator, will create awareness of entrepreneurs and offer an easily accessible and friendly online environment that supports collaborative business creation across all incubation phases including the yet unexplored Interest phase. 
- Entrepreneurial Business Development Networks - The growing international entrepreneurial network of individuals, start-ups, universities, mentors, investors, government, and all other network stakeholders including the community, will stimulate the establishment of long-term, strong-ties and relationships that can create on-going business opportunities for all involved parties

Accelerate the transfer of innovative applications and services to the market

VOICE delivers its value proposition virtually via the Internet. This will enable it to provide its service offering to the international B2C, B2B and B2G targeted market segments in a fast, efficient and cost effective way, considering its strategic reach and impact. The VOICE ecosystem enables individuals that aspire to become entrepreneurs to tap into the collective intelligence of the crowd. Students, women, unemployed, individuals residing in remote areas will be offered the capability to engage and collaborate with entrepreneurs and mentors across the world in a friendly and engaging way.


Deployment of services sustaining the European  and global social model of an inclusive, cohesive information society for all, stimulating new activities leading to job creation; improving the competitiveness of European enterprises, in particular SMEs and strengthen the internal market

VOICE provides an innovative virtual platform that will facilitate open community collaboration towards entrepreneurship. As such VOICE bridges the gap between entrepreneurial need and action, reducing barriers to entry for both individuals and embryonic start-ups. VOICE  ecosystem provides business, technical and community services so as to enhance start-up growth and maximize their chances of survival. At the same time VOICE will act as an innovation marketplace and a global investment opportunity ecosystem for the B2B community (i.e., investment community, companies); as well as a medium for universities consulting companies and individuals to offer their services. By fulfilling these goals and supporting individuals and companies, across all stages from the need, to intellectual property ownership and control, to start-up creation, this virtual incubation ecosystem will thus contribute to the creation of jobs and wealth across the broader community. 

VOICE serves as inclusive, social entrepreneurship ecosystem that will offer an easily accessible online environment to support collaborative business creation. The online character of the VOICE will stimulate further the entrepreneurial and innovation activity by weakening existing imbalances for entrepreneurs between urban and rural areas by offering equal opportunities to individuals that do not live in major cities, to women and community groups with disabilities.

","open data, open knowledge","open data, open market place, open incubation ecosystem, open access, crowd intelligence, open source, crowdfunding, crowdsourcing",11ca00cb-58e8-e090-5a48-37b6dd03a142,9/1/2017
4e08a781-cdb1-c27a-8f8d-2cb57544ea02,Optimizing human and material resources in cities,social innovation,,,"awareness networks, collaborative economy",,,,,
3efde623-cd92-0bee-cc58-08649bf6baa4,CROSS project,research project,www.crossproject.eu,"social inclusion, neighbourhood regeneration, finance and economy, health and wellbeing","new ways of making, open access, collaborative economy","Huge impact with applications in social ebanking, volunteering and personal value creation","open networks, open data, open knowledge","personal monitoring, big data, networks, online notice board, online market places, social media",9f5b782f-1372-4b92-49ca-f185fd0857bd,5/1/2016
20c5d664-0502-c89e-b918-42a9c2679e6c,virtual accelerator,incubators and accelerators,,"science, work and employment",funding acceleration and incubation,Growth engine to Europe business eco-system,"open networks, open knowledge, open data","social networks, personal monitoring, crowdsourcing, p2p   distributed exchange networks, online market place, social media, crowdfunding, online peer support",9ea58a9f-fb1d-0426-57dc-cbf858d3d55c,
27cf081e-92e5-02e6-f130-c6290c192194,Project99,service design project,www.wegot99.com,"health and wellbeing, youth mental health, participation and democracy","open democracy, collaborative economy",Health board grows partnership working with young people to create more appropriate and accessible youth mental health services,open knowledge,"social networks, crowdsourcing",f9d79eb6-61bf-61f3-bbbd-d6b52c5d1489,
4376d9c8-129c-8f69-d521-76494d8bd045,Online mentoring forum,delivering a web service,www.bulliesout.com,health and wellbeing,"open democracy, open access","Child protection, healthy living, mental health support. Each year we see an increase in the number of young people accessing our Online Mentor forum. Using a medium young people are enthusiastic about and comfortable with, our trained Mentors communicate with young people of all ages about a range of worries, from bullying to abuse to feelings of suicide.

A number of these mentoring sessions have resulted in a referral to the Police or other services for protective action to be taken.",open networks,online peer support,4da3e922-f6cb-bad0-590d-fdd4a5f23f10,
24b73e0b-3de9-4c27-a7d8-d7252493d7c6,Cheap Essay Writing Service,education and training,,education and skills,new ways of making,Help students with their writing needs,"open networks, open data",online learning models and moocs,eaf832ba-43f5-f6f5-3198-4c2298b3b4d0,
f3959972-bcbb-ab4e-2b09-d3477a386d09,Happy Wheels,event,happywheels9.com,"happywheels, wheels, happy wheels, happy",open access,"facebook, fubar","open knowledge, open data","happy, wheels",44b03f36-411d-ef8b-5728-ee1935912a5d,12/1/2021
85a3ee71-465d-fe76-e94c-21cafb8d26e5,Societal Street Surveys Program ,research project,,mainly focusing on regional sustainable socio economy and decent job creation,collaborative economy,Potential proactive participation of schools in preparation.,"open data, open knowledge, open networks",common hardware and desktop software,b9457c62-803e-451a-89f8-b430b5898d03,
fee44bce-bd46-46e1-f8bb-396efc7e141f,Grans Makers,research project,maker,"design for all, education and skills, design, participation and democracy, neighbourhood regeneration, culture and arts",new ways of making,"The social impact that aims to generate is based on a perception of quality in the tasks of daily life but also very focused on the participation of the elderly in getting this well. There is an empowerment throughout the process accompanied by an increase in personal satisfaction, the methodology is aimed to enhance the active attitude of the elderly through a validation of their identity are elderly people with much to contribute and full capacity to decide about his life, like any citizen right.","open knowledge, open hardware","3d printing, personal monitoring, design thinking, open source",9ce91723-4999-0d93-be02-33a17591c5bb,1/1/2015
654923e3-9395-9549-a8d0-586dc22d4cf2,A Welsh Assembly Government consultation: Future Generations Bill via VocalEyes,delivering a web service,blog.vocaleyes.org,"science, neighbourhood regeneration, energy and environment, health and wellbeing, culture and arts, education and skills, participation and democracy, work and employment, finance and economy",open democracy,"~ to enable every man, woman and child to easily engage in local decision making within the social & professional communities that are important and relevant to them.
~ to integrate with all modern forms of communication from the latest SmartPhone through to more traditional paper based mediums making local voting an intuitive part of everyday life for all sectors of society
~ to create sustainable employment opportunities through its VocalEyes Coordinator training programme. VocalEyes Coordinators will add capacity to any organisation implementing this transformative stakeholder engagement tool. These coordinators will gain the skills required to deliver the service both on & offline, to include training new users & administrators, support, facilitating group decision making events, community engagement, social media integration & other forms of marketing.
~ to provide a powerful and innovative web based digital platform, combining both online (digital) and offline (face-to-face) means.
~ to invigorate organisations, creating a culture of positivity and shared endeavour, of participative engagement and learning  thus improving motivation and communication within the organisation and also in its dealings with others.
~ to provide an open, transparent means for promoting vocalisation of ideas, and for deliberating, deciding, and progressing the best of these into meaningful actions which are supported across the organisation. Ideas can be generated at any level  top-down or bottom-up  so facilitating both consultation and empowerment.
","open knowledge, open data","crowdmapping, online peer support, crowdsourcing, online notice board, big data, online learning models and moocs, e petitions, social networks, open data, mobile apps, crowdfunding, social media",863e8183-b873-aec3-d468-885f39d72096,3/1/2015
0f22a42d-130c-c765-58ac-6c7d752ad86c,Developing a collaborative platform for language learning,education and training,what-co-lingua,"language, education","collaborative economy, open access, open democracy","Using Co-lingua regularly is a good strategy to ensure you multiple exposure to English, German or French cultural items that are relevant to you. You can easily search and enjoy multimedia contents, and learn languages. Create your own lists of favorite elements, add your own contents, share them with your peers and reap cultural discoveries. It is up to you to create and grow your own community of users.
Be a good pursuer in your skills' acquisition and monitor your progress. Share your areas of interests, your learning experiences and much more.

We hope that Co-lingua will accompany you along your way to improving your language skills and that sharing knowledge together will be rewarding. We commit to providing you with engaging, collaborative and relevant learning opportunities for impactful communications.
Presently, Co-Lingua has already  around 5 000 unique visits per day, 250 active users and 30 regular users that uses the website during the last 3 weeks.",open knowledge,"crowdsourcing, spark learning, global communities, multimedia contents, co creation, collaborative filtering, tacit knowledge, teachers, serendipity, civic mindedness, language learning, collaborative learning, e learning, long tail, taxonomy, match making platform, local communities, multi sided platform, language, cultural discoveries, social networks",8d790442-9996-a08b-1e0b-3be6db49e7cc,
44c53430-24fd-a529-82f7-abca3e1eabca,DisciplineXgames,delivering a web service,,"education and skills, participation and democracy, health and wellbeing","awareness networks, new ways of making","The Problem:
The phenomenon has been well documented, hyperbolic discounting is the human tendency to prefer smaller payoffs now over larger payoffs later, which leads one to largely disregard the future when it requires sacrifices in the present.
""Eat, drink and be merry, for tomorrow we may die."" It's an appealing philosophy to some, but for an average person in the modern world, on any given day we are roughly 26,000 times more likely to be wrong than right about tomorrow's survivability. More often than not, one must answer for all reckless consumption and merriment; yet most of us continue to make choices which are detrimental to our futures.
 
Our Solution:
We believe that a behavioural change intervention, at a social-network level, is required if we are to calm our rate of consumption to manageable levels.
 
We have leveraged behavioural economics techniques from the evidence based, Road Safety  Average Speed Camera Intervention to allow people to self-select themselves to a programme of social surveillance, using wearable devices to remotely compete in games of discipline against friends and family, and by so doing maintain target behaviours that reduce consumption rates or increase activity levels to compensate for consumption rates.
 
Why Now:
The explosion of sensors we are witnessing today is spurring innovation across industry due to their effectiveness of price point, innovation in what can be measured, and the existence of ubiquitous networks to allow the aggregation of that data. 

For the first time we have the technology to monitor and validate adherence to target behaviour remotely. Nowhere is that more important than in the health and wellbeing space, where the world faces epic challenges coming from an aging population, a centralised health system that is straining to scale to current demands, and growing health concerns due to obesity and diabetes. 
","open data, open knowledge","online peer support, social networks, big data, sensors and internet of things, personal monitoring, geotagging",69f90861-aadb-ab42-686b-8153f0a22cd4,
acc6ecba-264e-0ab2-2756-1d81d9bf0bdb,Open Food Facts database of food products in open data,delivering a web service,openfoodfacts.org,"food security, food, local food, health, health and wellbeing, nutrition, open data","collaborative economy, open access, awareness networks","Open Food Facts contributors are making the food industry more open and transparent. The data they gather can be used by everyone to make better food choices. Healthier choices: less fat, saturated fat, sugars and salt, but also more sustainable choices: organic products, local food products etc.",open data,"crowdsourcing, visual recognition, barcode scanning, mobile apps, open source, games, open data, augmented reality",30d59325-d218-1828-1d32-c7f686b6503d,
07424f31-ab59-7249-d16a-4f48376431a9,Internet of Things Madrid meetup,event,,"participation and democracy, energy and environment, work and employment, science, education and skills","new ways of making, awareness networks, collaborative economy, open access","We want to reinforce the Madrid innovating ecosystem with our citizen centered point of view. We  promote a reflection on new technologies from an holistic approach and we link local projects with similar initiatives in other cities of Europe, in order to facilitate collaboration and open knowledge and open science practices. 

We have built one of the most diverse and rich community in Madrid and we have brought to live local government facilities with our events.  We have an active community of  750 members. We have organized more than 35 meet ups in Madrid, we have offered a showcase of local projects using IoT technologies.  These projects were completely invisible and giving them the opportunity to showcase their work, new business opportunities appear for them. 
 
We have been part of the Air Quality Egg developers community, linking this international project with Universidad Politecnica in Madrid and Medialab-Prado. We have enriched this project with out community point of view. We have also organized the IoT Days since 2012, in collaboration with Internet Society spanish chapter. This event was a global event, celebrated internationally.","open knowledge, open data, open hardware, open networks","big data, sensors and internet of things, crowdsourcing, open source, crowdfunding, open data, personal monitoring, machine learning",4bbaf062-288e-408a-dd49-6181a13501ec,
4e41b1fe-0fa3-043e-2030-548025d563d4,the acceleration agenda knowledge about social entrepreneurship in higher and academic education,network,jeroen.boon,"education and skills, health and wellbeing, work and employment, culture and arts, neighbourhood regeneration, participation and democracy, energy and environment, finance and economy",funding acceleration and incubation,"solution for youth unemployment, create new green jobs in neighbourhoods by urban agriculture initiatives.","open networks, open knowledge, open data","social networks, crowdsourcing, p2p   distributed exchange networks, online market place, 3d printing, social media, crowdfunding, big data",37ac529e-9307-5d67-62cf-9d5c896e1dd8,10/1/2014
0fa193df-539d-3ac3-676f-ad036b6e867f,Open Onderwijs Data,delivering a web service,api.openonderwijsdata.nl,"work and employment, education and skills, participation and democracy","collaborative economy, awareness networks, open democracy","Currently, the various apps help on average 50.000 parents per month in finding the right school and allows them to compare its performance and hold school boards to account.","open data, open knowledge, open networks","social media, open source, geotagging, social networks, open data",75801789-9c5a-958a-2c3a-d3ab2cca13ff,
